SGG_NM,YM,RENT_GTN
강남구,2022-01,77104.51172190784
강남구,2022-02,79944.3714547118
강남구,2022-03,77279.2582781457
강남구,2022-04,76155.81757402101
강남구,2022-05,66080.5529953917
강남구,2022-06,75346.15557830092
강남구,2022-07,78914.21823770492
강남구,2022-08,79870.37345331833
강남구,2022-09,81737.28944099379
강남구,2022-10,87734.16019417475
강남구,2022-11,82977.83116883117
강남구,2022-12,78066.51732991014
강남구,2023-01,71218.57699443413
강동구,2022-01,47842.68281430219
강동구,2022-02,47604.67910447761
강동구,2022-03,46264.008717310084
강동구,2022-04,46499.75784190715
강동구,2022-05,44926.45121951219
강동구,2022-06,44048.38223938224
강동구,2022-07,44434.56261343013
강동구,2022-08,45122.845303867405
강동구,2022-09,46019.16077738516
강동구,2022-10,45626.22243713733
강동구,2022-11,45301.87866108787
강동구,2022-12,44983.4688057041
강동구,2023-01,41500.56235827664
강북구,2022-01,36025.64024390244
강북구,2022-02,32647.75925925926
강북구,2022-03,35677.431506849316
강북구,2022-04,34454.544041450776
강북구,2022-05,35841.02923976608
강북구,2022-06,35937.51807228916
강북구,2022-07,29497.61325966851
강북구,2022-08,34821.796178343946
강북구,2022-09,36961.13114754098
강북구,2022-10,35476.0
강북구,2022-11,34283.02362204724
강북구,2022-12,34364.52631578947
강북구,2023-01,33835.828571428574
강서구,2022-01,32280.353637901862
강서구,2022-02,31250.105928853754
강서구,2022-03,30927.986869384935
강서구,2022-04,32344.678431372547
강서구,2022-05,31389.542569659443
강서구,2022-06,32013.301418439718
강서구,2022-07,29748.114794352365
강서구,2022-08,27650.568880688807
강서구,2022-09,33218.75433789955
강서구,2022-10,32948.12655800575
강서구,2022-11,30183.447368421053
강서구,2022-12,32755.558047493403
강서구,2023-01,31096.17571884984
관악구,2022-01,37006.56675749319
관악구,2022-02,37359.76368159204
관악구,2022-03,39140.0325732899
관악구,2022-04,38984.13953488372
관악구,2022-05,38910.21965317919
관악구,2022-06,38326.80866425993
관악구,2022-07,38364.76899696048
관악구,2022-08,40618.681818181816
관악구,2022-09,41013.014285714286
관악구,2022-10,41616.833333333336
관악구,2022-11,36743.98564593301
관악구,2022-12,36301.42907801418
관악구,2023-01,36466.443925233645
광진구,2022-01,53169.49206349206
광진구,2022-02,61081.6975308642
광진구,2022-03,56611.25589225589
광진구,2022-04,61517.00714285715
광진구,2022-05,58765.5321888412
광진구,2022-06,60245.70980392157
광진구,2022-07,57504.279475982534
광진구,2022-08,60346.68205128205
광진구,2022-09,57668.66255144033
광진구,2022-10,53296.05150214592
광진구,2022-11,51961.913223140495
광진구,2022-12,47325.75892857143
광진구,2023-01,50278.831168831166
구로구,2022-01,32265.50837988827
구로구,2022-02,30926.073015873015
구로구,2022-03,33798.83306581059
구로구,2022-04,30383.650529500756
구로구,2022-05,34468.34523809524
구로구,2022-06,34476.886315789474
구로구,2022-07,33943.83932346723
구로구,2022-08,33552.93103448276
구로구,2022-09,34527.96103896104
구로구,2022-10,34309.18260869565
구로구,2022-11,32940.039886039885
구로구,2022-12,34389.01904761905
구로구,2023-01,36064.93896713615
금천구,2022-01,28448.334394904457
금천구,2022-02,27317.670854271357
금천구,2022-03,28199.070652173912
금천구,2022-04,27401.857908847185
금천구,2022-05,25564.86119873817
금천구,2022-06,26195.42900302115
금천구,2022-07,24223.397694524494
금천구,2022-08,25863.713780918726
금천구,2022-09,27259.83950617284
금천구,2022-10,30367.56862745098
금천구,2022-11,27827.031088082902
금천구,2022-12,26296.18125
금천구,2023-01,26925.4064171123
노원구,2022-01,30451.70796460177
노원구,2022-02,30015.336007130125
노원구,2022-03,29068.24630541872
노원구,2022-04,30006.944676409184
노원구,2022-05,28609.909799554567
노원구,2022-06,30188.564324324325
노원구,2022-07,29816.282467532466
노원구,2022-08,29561.112960761
노원구,2022-09,29671.575373993095
노원구,2022-10,30469.199288256226
노원구,2022-11,30173.682666666668
노원구,2022-12,31921.986772486773
노원구,2023-01,29932.399176954732
도봉구,2022-01,28617.745614035088
도봉구,2022-02,29543.980978260868
도봉구,2022-03,28791.544502617802
도봉구,2022-04,28639.63157894737
도봉구,2022-05,29633.175308641974
도봉구,2022-06,29045.107382550337
도봉구,2022-07,29207.146974063402
도봉구,2022-08,28671.55462184874
도봉구,2022-09,27896.770897832816
도봉구,2022-10,28945.07284768212
도봉구,2022-11,28768.516129032258
도봉구,2022-12,27878.062780269058
도봉구,2023-01,26415.937062937064
동대문구,2022-01,37477.10735586481
동대문구,2022-02,40677.558044806516
동대문구,2022-03,40837.989837398374
동대문구,2022-04,41431.552311435524
동대문구,2022-05,42861.45376344086
동대문구,2022-06,42702.09951456311
동대문구,2022-07,40755.04826254826
동대문구,2022-08,41430.22698072805
동대문구,2022-09,43929.08275862069
동대문구,2022-10,41554.299741602066
동대문구,2022-11,38043.67973856209
동대문구,2022-12,37416.05187319885
동대문구,2023-01,34637.96995708154
동작구,2022-01,58035.97882352941
동작구,2022-02,57069.388059701494
동작구,2022-03,55563.45127118644
동작구,2022-04,58811.8722943723
동작구,2022-05,58210.43254817987
동작구,2022-06,60577.38265306123
동작구,2022-07,59698.02857142857
동작구,2022-08,58573.37463126844
동작구,2022-09,60036.398921832886
동작구,2022-10,57601.48041775457
동작구,2022-11,60539.05263157895
동작구,2022-12,54399.23314606742
동작구,2023-01,53232.64730290457
마포구,2022-01,47917.501408450706
마포구,2022-02,51566.1593625498
마포구,2022-03,47403.61400894188
마포구,2022-04,47814.45141065831
마포구,2022-05,48120.036741214055
마포구,2022-06,50874.92006802721
마포구,2022-07,50427.52307692308
마포구,2022-08,49092.37128712871
마포구,2022-09,49432.21688741722
마포구,2022-10,53999.397233201584
마포구,2022-11,47989.528384279474
마포구,2022-12,43404.63209393346
마포구,2023-01,42801.18652849741
서대문구,2022-01,47867.08658008658
서대문구,2022-02,47886.32008830022
서대문구,2022-03,46463.6690647482
서대문구,2022-04,47002.8972972973
서대문구,2022-05,46055.80294117647
서대문구,2022-06,48683.15605095541
서대문구,2022-07,46461.686486486484
서대문구,2022-08,51826.76536312849
서대문구,2022-09,50321.96716417911
서대문구,2022-10,46740.05775075988
서대문구,2022-11,45863.744755244756
서대문구,2022-12,44044.65181058496
서대문구,2023-01,41834.1746031746
서초구,2022-01,77640.31095890411
서초구,2022-02,65576.18002322881
서초구,2022-03,73185.03457814662
서초구,2022-04,87722.34137931034
서초구,2022-05,89618.41151685393
서초구,2022-06,84994.91419656786
서초구,2022-07,85849.05911949686
서초구,2022-08,75189.57002457003
서초구,2022-09,93884.89936102237
서초구,2022-10,88492.19584569732
서초구,2022-11,90213.35664335664
서초구,2022-12,87335.2208029197
서초구,2023-01,84654.06515580736
성동구,2022-01,60856.18485915493
성동구,2022-02,60337.84380032206
성동구,2022-03,61126.491329479766
성동구,2022-04,61713.92405063291
성동구,2022-05,62021.1963562753
성동구,2022-06,60550.60081466395
성동구,2022-07,59641.880859375
성동구,2022-08,63477.32838983051
성동구,2022-09,60533.149397590365
성동구,2022-10,61179.88990825688
성동구,2022-11,57812.1202346041
성동구,2022-12,56031.905339805824
성동구,2023-01,53217.419871794875
성북구,2022-01,47344.56993736952
성북구,2022-02,47290.9879032258
성북구,2022-03,45994.06993006993
성북구,2022-04,48491.08768267223
성북구,2022-05,47270.8325
성북구,2022-06,47323.215130023644
성북구,2022-07,45481.27990430622
성북구,2022-08,46589.52222222222
성북구,2022-09,45524.723342939484
성북구,2022-10,46136.70241286863
성북구,2022-11,43329.82035928144
성북구,2022-12,44006.799019607846
성북구,2023-01,42501.39405204461
송파구,2022-01,58355.98959107807
송파구,2022-02,55462.28754716981
송파구,2022-03,54819.572892040975
송파구,2022-04,59259.326457399104
송파구,2022-05,61062.390926640925
송파구,2022-06,61617.54056795132
송파구,2022-07,63134.14139534884
송파구,2022-08,61528.881789137384
송파구,2022-09,63208.007963594995
송파구,2022-10,60868.833846153844
송파구,2022-11,58721.41229050279
송파구,2022-12,63713.976766698936
송파구,2023-01,51223.259332023576
양천구,2022-01,56125.279809220985
양천구,2022-02,50979.09022556391
양천구,2022-03,48595.13065326633
양천구,2022-04,47811.59510086455
양천구,2022-05,48910.62664714495
양천구,2022-06,50847.73905723906
양천구,2022-07,49965.056923076925
양천구,2022-08,51393.59265442404
양천구,2022-09,51060.80215827338
양천구,2022-10,49577.297744360905
양천구,2022-11,52049.325051759835
양천구,2022-12,51571.386524822694
양천구,2023-01,48813.25214899713
영등포구,2022-01,40245.489082969434
영등포구,2022-02,41202.38014783527
영등포구,2022-03,42086.4009163803
영등포구,2022-04,42392.95958279009
영등포구,2022-05,42156.35619735259
영등포구,2022-06,43413.469660194176
영등포구,2022-07,41577.1647597254
영등포구,2022-08,42500.31468531468
영등포구,2022-09,44630.056258790435
영등포구,2022-10,43097.68336025848
영등포구,2022-11,40301.20035149385
영등포구,2022-12,39150.62944162437
영등포구,2023-01,35345.395833333336
용산구,2022-01,61015.311572700295
용산구,2022-02,61833.91379310345
용산구,2022-03,67202.19263456091
용산구,2022-04,66785.75910364145
용산구,2022-05,65042.02127659575
용산구,2022-06,75038.0
용산구,2022-07,70035.04491017964
용산구,2022-08,64097.249249249246
용산구,2022-09,70692.67128027682
용산구,2022-10,65887.97307692308
용산구,2022-11,61692.34722222222
용산구,2022-12,56923.380281690144
용산구,2023-01,56062.86821705427
은평구,2022-01,35560.425963488844
은평구,2022-02,35568.242424242424
은평구,2022-03,36193.70761245675
은평구,2022-04,36948.43265993266
은평구,2022-05,40861.46031746032
은평구,2022-06,41631.67526555387
은평구,2022-07,36162.299019607846
은평구,2022-08,36963.47826086957
은평구,2022-09,34837.89435336976
은평구,2022-10,39119.19370460048
은평구,2022-11,35395.6640625
은평구,2022-12,36266.230283911675
은평구,2023-01,32090.376666666667
종로구,2022-01,42597.619047619046
종로구,2022-02,44458.31932773109
종로구,2022-03,49395.84269662921
종로구,2022-04,49101.86915887851
종로구,2022-05,51137.27678571428
종로구,2022-06,46836.153846153844
종로구,2022-07,38047.810218978106
종로구,2022-08,36494.546875
종로구,2022-09,41597.28971962617
종로구,2022-10,44806.117021276594
종로구,2022-11,48402.10843373494
종로구,2022-12,55158.86075949367
종로구,2023-01,50297.87234042553
중구,2022-01,49014.10041841004
중구,2022-02,48890.84848484849
중구,2022-03,45868.6652173913
중구,2022-04,52879.65517241379
중구,2022-05,46881.528205128205
중구,2022-06,44280.84761904762
중구,2022-07,43858.28643216081
중구,2022-08,45569.756097560974
중구,2022-09,42561.63157894737
중구,2022-10,46739.0251572327
중구,2022-11,39130.18709677419
중구,2022-12,40688.44585987261
중구,2023-01,37574.2429906542
중랑구,2022-01,30903.957142857143
중랑구,2022-02,25838.570902394105
중랑구,2022-03,27665.183235867447
중랑구,2022-04,33684.104166666664
중랑구,2022-05,35955.02135231317
중랑구,2022-06,35212.99283154122
중랑구,2022-07,37231.28571428572
중랑구,2022-08,28594.022222222222
중랑구,2022-09,35042.53913043478
중랑구,2022-10,36042.13397129186
중랑구,2022-11,31397.850746268658
중랑구,2022-12,32629.98285714286
중랑구,2023-01,30999.415204678364
