CNTRCT_DE,RENT_GTN
2022-01-01,56000
2022-01-02,49040
2022-01-03,66600
2022-01-04,84862.5
2022-01-05,117375
2022-01-06,78691.63158
2022-01-07,84629.16667
2022-01-08,74238.93939
2022-01-09,69261.27273
2022-01-10,81567.15
2022-01-11,76440.71429
2022-01-12,116314.7692
2022-01-13,109171.2857
2022-01-14,62401.08696
2022-01-15,77268.55128
2022-01-16,74055.55556
2022-01-17,78123.97297
2022-01-18,64097.8
2022-01-19,65171.52174
2022-01-20,73982.26087
2022-01-21,70994.42105
2022-01-22,73060.48276
2022-01-23,71996.57143
2022-01-24,65437.71875
2022-01-25,84597.84211
2022-01-26,72289.78571
2022-01-27,75366.09756
2022-01-28,70263.76
2022-01-29,87411.90476
2022-01-31,85903.8
2022-02-01,60150
2022-02-03,71491.43478
2022-02-04,62475.5
2022-02-05,66339.39394
2022-02-06,67543.75
2022-02-07,70379.9375
2022-02-08,48843.37931
2022-02-09,83281.08333
2022-02-10,68431.95349
2022-02-11,43501.07317
2022-02-12,76226.93548
2022-02-13,47246.5
2022-02-14,49690.4
2022-02-15,48842.21569
2022-02-16,73172.72727
2022-02-17,61495.97059
2022-02-18,84924.89744
2022-02-19,75394.27907
2022-02-20,66447
2022-02-21,70534.58333
2022-02-22,51555.38889
2022-02-23,57283.54545
2022-02-24,78740.4
2022-02-25,59402.80952
2022-02-26,75088.93333
2022-02-27,84879.42857
2022-02-28,65700.75676
2022-03-01,111290
2022-03-02,97848.31818
2022-03-03,70552.94444
2022-03-04,63710.29412
2022-03-05,63663.53488
2022-03-06,74500
2022-03-07,59285.09091
2022-03-08,44907.07143
2022-03-09,62216.77273
2022-03-10,96552.94118
2022-03-11,72515.26316
2022-03-12,76528.47826
2022-03-13,44625
2022-03-14,74079.35
2022-03-15,69536.15254
2022-03-16,65693.35484
2022-03-17,56184.4375
2022-03-18,78945.75
2022-03-19,82173.48485
2022-03-20,94500
2022-03-21,61012.96667
2022-03-22,71295.5
2022-03-23,79020.80952
2022-03-24,68785.52174
2022-03-25,81430.55556
2022-03-26,86664
2022-03-27,71787.5
2022-03-28,77443.82353
2022-03-29,74439.83333
2022-03-30,84717
2022-03-31,81345.84
2022-04-01,58343.75
2022-04-02,85622.30233
2022-04-03,100250
2022-04-04,112190
2022-04-05,75600
2022-04-06,60207.33333
2022-04-07,104167.8571
2022-04-08,92166.66667
2022-04-09,98911.25
2022-04-10,71600
2022-04-11,107733.3333
2022-04-12,62941.72222
2022-04-13,98830.95238
2022-04-14,80304.17391
2022-04-15,75115.38462
2022-04-16,82868.60465
2022-04-17,161878.5714
2022-04-18,94687.07143
2022-04-19,69613.4375
2022-04-20,73308.93103
2022-04-21,105926.7059
2022-04-22,99550
2022-04-23,83634
2022-04-24,81925
2022-04-25,86511.53846
2022-04-26,120393.0435
2022-04-27,58942.85714
2022-04-28,105902.1739
2022-04-29,89276.38889
2022-04-30,79496.55556
2022-05-01,83187.5
2022-05-02,64469.73684
2022-05-03,93772.2
2022-05-04,85487.5
2022-05-05,81310.41667
2022-05-06,86141.85714
2022-05-07,82698.5
2022-05-08,87375
2022-05-09,70898.53488
2022-05-10,79888.48889
2022-05-11,91577.48148
2022-05-12,86162.92857
2022-05-13,90730.58621
2022-05-14,83084.90566
2022-05-15,66650
2022-05-16,88175.03846
2022-05-17,103486.4091
2022-05-18,82670.35714
2022-05-19,105177.2727
2022-05-20,88930.19355
2022-05-21,98407.41667
2022-05-22,124216.6667
2022-05-23,111447.8333
2022-05-24,98041.74074
2022-05-25,104372.16
2022-05-26,110465
2022-05-27,85895.09091
2022-05-28,91090.95556
2022-05-29,28000
2022-05-30,88904.41935
2022-05-31,106379.1667
2022-06-01,82932.35294
2022-06-02,69574.11765
2022-06-03,96291.07143
2022-06-04,108385.7143
2022-06-05,94750
2022-06-06,94244.44444
2022-06-07,68573.75
2022-06-08,79261.25
2022-06-09,88880
2022-06-10,90612
2022-06-11,87231.11111
2022-06-12,98300
2022-06-13,78144.65
2022-06-14,71046.44444
2022-06-15,114814.7188
2022-06-16,85386.61905
2022-06-17,78522.10714
2022-06-18,75090.51163
2022-06-19,146900
2022-06-20,102858.3333
2022-06-21,81743.75
2022-06-22,76151.28
2022-06-23,86940.94118
2022-06-24,85281.09375
2022-06-25,80251.59091
2022-06-26,81300
2022-06-27,77539.5
2022-06-28,65907.20833
2022-06-29,68821.64706
2022-06-30,93950.29032
2022-07-01,83625
2022-07-02,80203.57143
2022-07-03,145000
2022-07-04,102661.7647
2022-07-05,75280
2022-07-06,96788.88462
2022-07-07,83116.66667
2022-07-08,75758.73913
2022-07-09,95655.80488
2022-07-10,99620
2022-07-11,75911.23256
2022-07-12,75820.61765
2022-07-13,88784.55172
2022-07-14,76804.79167
2022-07-15,93435.44444
2022-07-16,94371.42857
2022-07-17,110039.7778
2022-07-18,103263.2609
2022-07-19,61299.32143
2022-07-20,89359.56757
2022-07-21,91812.51724
2022-07-22,78877.7
2022-07-23,89360.08772
2022-07-24,77850
2022-07-25,72930.46429
2022-07-26,116286.1154
2022-07-27,90805.13636
2022-07-28,78321.88
2022-07-29,63810.75
2022-07-30,77879.86111
2022-07-31,56350
2022-08-01,69542.35294
2022-08-02,108676.6667
2022-08-03,95236.53846
2022-08-04,113817.1818
2022-08-05,89930.88462
2022-08-06,97702.85714
2022-08-07,111250
2022-08-08,72499.24138
2022-08-09,74771
2022-08-10,77457
2022-08-11,97335.15789
2022-08-12,93984.11111
2022-08-13,83525
2022-08-14,94000
2022-08-15,135000
2022-08-16,42579.5619
2022-08-17,43850.34043
2022-08-18,58821.18605
2022-08-19,73581.6129
2022-08-20,81186.79167
2022-08-21,56876
2022-08-22,54073.82143
2022-08-23,82974.95833
2022-08-24,93277.53571
2022-08-25,61684.28571
2022-08-26,77854.40741
2022-08-27,77725.15152
2022-08-28,64000
2022-08-29,88426.03846
2022-08-30,87257.36
2022-08-31,109291.55
2022-09-01,108938.32
2022-09-02,83695.3913
2022-09-03,100579
2022-09-04,55500
2022-09-05,101131.5789
2022-09-06,115008.2353
2022-09-07,90092.71429
2022-09-08,89911.76471
2022-09-09,98187
2022-09-12,112583.3333
2022-09-13,70127.95238
2022-09-14,83105.83333
2022-09-15,81296
2022-09-16,94499.19048
2022-09-17,97888.41026
2022-09-18,64785.71429
2022-09-19,114212.5333
2022-09-20,81578.6087
2022-09-21,77725.69565
2022-09-22,111738.7308
2022-09-23,87021.73913
2022-09-24,87853.47727
2022-09-25,88849
2022-09-26,101188.6786
2022-09-27,111585.4545
2022-09-28,86814.32
2022-09-29,122096.1538
2022-09-30,90405.42857
2022-10-01,86378.85714
2022-10-02,175666.6667
2022-10-03,89522.22222
2022-10-04,65051.92308
2022-10-05,98153.70968
2022-10-06,108100.0667
2022-10-07,91803.51852
2022-10-08,102191.1364
2022-10-09,217500
2022-10-10,97496.54545
2022-10-11,78460.72727
2022-10-12,139773.75
2022-10-13,91707.5
2022-10-14,91317.81818
2022-10-15,95501.11111
2022-10-16,84269.2
2022-10-17,94951.36
2022-10-18,59879.52778
2022-10-19,46310.51613
2022-10-20,69381.42857
2022-10-21,89012.96
2022-10-22,93337.15789
2022-10-23,27693.25
2022-10-24,81048.88462
2022-10-25,75056.91304
2022-10-26,85834
2022-10-27,85910.29167
2022-10-28,63118.47059
2022-10-29,106140.2963
2022-10-30,157250
2022-10-31,80475.38889
2022-11-01,62520
2022-11-02,78467.88235
2022-11-03,60279.68421
2022-11-04,89070.63636
2022-11-05,80903.16129
2022-11-06,103250
2022-11-07,86192.11538
2022-11-08,86097.17391
2022-11-09,84915.38462
2022-11-10,115039.1304
2022-11-11,91857.05882
2022-11-12,99011.875
2022-11-13,89714.28571
2022-11-14,82433
2022-11-15,102786.2
2022-11-16,95402.77778
2022-11-17,75857.94737
2022-11-18,79819.05263
2022-11-19,102850
2022-11-20,79833.33333
2022-11-21,76713.14286
2022-11-22,84700.09524
2022-11-23,101415.7895
2022-11-24,87053.1
2022-11-25,79889.23077
2022-11-26,98901.97143
2022-11-27,135000
2022-11-28,112927.7857
2022-11-29,100612.1111
2022-11-30,103192.1053
2022-12-01,74745.06667
2022-12-02,100819.1667
2022-12-03,111638.9706
2022-12-04,92500
2022-12-05,80707.30769
2022-12-06,69095.45455
2022-12-07,105962.8
2022-12-08,99652.63158
2022-12-09,89152.38095
2022-12-10,88811.42857
2022-12-11,116600
2022-12-12,71520.11111
2022-12-13,89156.42857
2022-12-14,104898.85
2022-12-15,91151.31579
2022-12-16,110413.25
2022-12-17,83711.75758
2022-12-18,56750
2022-12-19,89383.33333
2022-12-20,70267.3913
2022-12-21,80244.66667
2022-12-22,116920.7
2022-12-23,68433
2022-12-24,77634.09091
2022-12-25,105000
2022-12-26,75094.11765
2022-12-27,93547.17391
2022-12-28,75335.85
2022-12-29,63635.71429
2022-12-30,90862
2022-12-31,69285.78947
2023-01-01,130000
2023-01-02,108250
2023-01-03,76504.54545
2023-01-04,104100
2023-01-05,78260
2023-01-06,96564.28571
2023-01-07,74728.21429
2023-01-08,86330.6
2023-01-09,109984.1333
2023-01-10,100266.6667
2023-01-11,96561.42857
2023-01-12,75926.66667
2023-01-13,122550
2023-01-14,94657.69231
2023-01-15,79750
2023-01-16,76745.05263
2023-01-17,69045.65
2023-01-18,75518.32
2023-01-19,59297
2023-01-20,86980.83333
2023-01-21,80000
2023-01-24,83450
2023-01-25,76126.15385
2023-01-26,62931.66667
2023-01-27,75075.72727
2023-01-28,93721.33333
2023-01-30,66466.92857
